k
numero 9
numero 0
numero 1
numero 2
numero 3
numero 4
numero 5
numero 6
numero 7
numero 8
numero 9
numero 0
numero 1
numero 2
numero 3
numero 4
numero 5
numero 6
numero 7
numero 8
numero 1 6
numero 2 7
numero 3 8
numero 4 9
numero 5 0
numero 6 1
numero 7 2
numero 8 3
numero 9 4
numero 10 5
numero 11 6
numero 12 7
numero 13 8
numero 14 9
numero 15 0
numero 16 1
numero 17 2
numero 18 3
numero 19 4
numero 20 5
numero 1 2
numero 2 3
numero 3 3
numero 4 3
numero 5 3
numero 6 3
numero 7 3
numero 8 3
numero 9 3
numero 10 3
numero 11 3
numero 12 3
numero 13 3
numero 14 3
numero 15 3
numero 16 3
numero 17 3
numero 18 3
numero 19 3
numero 20 3
